display_name,ValorBaixa,DtLancamento,IdFilial
Sabaneta,"249.900,00",2026-01-01,4
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"249.900,00",2026-01-01,4
Sabaneta,"109.900,00",2026-01-01,4
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Campestre,"199.900,00",2026-01-01,5
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Campestre,"219.900,00",2026-01-01,5
El Edén,"219.900,00",2026-01-01,52
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Campestre,"249.900,00",2026-01-01,5
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
City Plaza,"180.000,00",2026-01-01,6
City Plaza,"199.900,00",2026-01-01,6
City Plaza,"249.900,00",2026-01-01,6
Ciudadela Sabaneta,"249.900,00",2026-01-01,50
Ciudadela Sabaneta,"219.900,00",2026-01-01,50
Corporate Center,"219.900,00",2026-01-01,61
Campestre,"199.900,00",2026-01-01,5
Campestre,"199.900,00",2026-01-01,5
Tesoro,"129.900,00",2026-01-01,3
Tesoro,"249.900,00",2026-01-01,3
Las Palmas Bio 26,"249.900,00",2026-01-01,46
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"249.900,00",2026-01-01,3
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Las Palmas Bio 26,"109.900,00",2026-01-01,46
Corporate Center,"249.900,00",2026-01-01,61
Las Palmas Bio 26,"249.900,00",2026-01-01,46
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Outlet,"224.900,00",2026-01-01,47
Sabaneta,"249.900,00",2026-01-01,4
Sabaneta,"199.900,00",2026-01-01,4
Corporate Center,"219.900,00",2026-01-01,61
Outlet,"129.900,00",2026-01-01,47
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"120.000,00",2026-01-01,4
Sabaneta,"129.900,00",2026-01-01,4
Ciudadela Sabaneta,"224.900,00",2026-01-01,50
Corporate Center,"249.900,00",2026-01-01,61
El Edén,"219.900,00",2026-01-01,52
Corporate Center,"249.900,00",2026-01-01,61
Ciudadela Sabaneta,"249.900,00",2026-01-01,50
Ciudadela Sabaneta,"129.900,00",2026-01-01,50
Tesoro,"199.900,00",2026-01-01,3
Tesoro,"199.900,00",2026-01-01,3
Tesoro,"199.900,00",2026-01-01,3
Corporate Center,"249.900,00",2026-01-01,61
Intermedia,"249.900,00",2026-01-01,1
C.C Parque La Colina,"219.900,00",2026-01-01,60
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Plaza Campestre,"199.900,00",2026-01-01,44
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"249.900,00",2026-01-01,3
Parque Fabricato,"62.900,00",2026-01-01,56
Intermedia,"249.900,00",2026-01-01,1
Intermedia,"199.900,00",2026-01-01,1
Epic Pereira,"249.900,00",2026-01-01,51
Corporate Center,"249.900,00",2026-01-01,61
Epic Pereira,"199.900,00",2026-01-01,51
Corporate Center,"249.900,00",2026-01-01,61
El Edén,"249.900,00",2026-01-01,52
El Edén,"219.900,00",2026-01-01,52
Corporate Center,"219.900,00",2026-01-01,61
El Edén,"249.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Outlet,"224.900,00",2026-01-01,47
Corporate Center,"219.900,00",2026-01-01,61
Epic Pereira,"249.900,00",2026-01-01,51
Sabaneta,"224.900,00",2026-01-01,4
Epic Pereira,"199.900,00",2026-01-01,51
El Edén,"219.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
El Edén,"219.900,00",2026-01-01,52
Corporate Center,"219.900,00",2026-01-01,61
El Edén,"249.900,00",2026-01-01,52
El Edén,"219.900,00",2026-01-01,52
El Edén,"249.900,00",2026-01-01,52
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
El Edén,"249.900,00",2026-01-01,52
El Edén,"249.900,00",2026-01-01,52
El Edén,"219.900,00",2026-01-01,52
Sabaneta,"249.900,00",2026-01-01,4
Los Molinos,"249.900,00",2026-01-01,48
Corporate Center,"249.900,00",2026-01-01,61
Los Molinos,"129.900,00",2026-01-01,48
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Las Palmas Bio 26,"249.900,00",2026-01-01,46
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"249.900,00",2026-01-01,4
Tesoro,"249.900,00",2026-01-01,3
Tesoro,"199.900,00",2026-01-01,3
Corporate Center,"249.900,00",2026-01-01,61
Ciudadela Sabaneta,"224.900,00",2026-01-01,50
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
City Plaza,"180.000,00",2026-01-01,6
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Campestre,"199.900,00",2026-01-01,5
Corporate Center,"249.900,00",2026-01-01,61
Campestre,"199.900,00",2026-01-01,5
Corporate Center,"249.900,00",2026-01-01,61
Campestre,"199.900,00",2026-01-01,5
Campestre,"180.000,00",2026-01-01,5
Epic Pereira,"249.900,00",2026-01-01,51
Corporate Center,"249.900,00",2026-01-01,61
Campestre,"180.000,00",2026-01-01,5
Epic Pereira,"249.900,00",2026-01-01,51
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
El Edén,"219.900,00",2026-01-01,52
El Edén,"249.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
City Plaza,"249.900,00",2026-01-01,6
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"219.900,00",2026-01-01,7
Alto de palmas,"109.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"249.900,00",2026-01-01,7
City Plaza,"199.900,00",2026-01-01,6
El Edén,"249.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
City Plaza,"100.000,00",2026-01-01,6
Epic Pereira,"199.900,00",2026-01-01,51
Epic Pereira,"199.900,00",2026-01-01,51
El Edén,"249.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
City Plaza,"219.900,00",2026-01-01,6
Corporate Center,"219.900,00",2026-01-01,61
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"224.900,00",2026-01-01,7
City Plaza,"224.900,00",2026-01-01,6
Corporate Center,"249.900,00",2026-01-01,61
El Edén,"249.900,00",2026-01-01,52
Alto de palmas,"249.900,00",2026-01-01,7
Alto de palmas,"249.900,00",2026-01-01,7
Alto de palmas,"249.900,00",2026-01-01,7
Alto de palmas,"249.900,00",2026-01-01,7
Laureles,"199.900,00",2026-01-01,8
Laureles,"129.900,00",2026-01-01,8
Laureles,"219.900,00",2026-01-01,8
Laureles,"224.900,00",2026-01-01,8
La 33,"180.000,00",2026-01-01,9
Belen,"199.900,00",2026-01-01,10
Santafe Bogota,"199.900,00",2026-01-01,13
El Edén,"249.900,00",2026-01-01,52
El Edén,"249.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
El Edén,"249.900,00",2026-01-01,52
Corporate Center,"249.900,00",2026-01-01,61
City Plaza,"249.900,00",2026-01-01,6
Corporate Center,"249.900,00",2026-01-01,61
Alto de palmas,"109.900,00",2026-01-01,7
Alto de palmas,"129.900,00",2026-01-01,7
La 33,"180.000,00",2026-01-01,9
La 33,"249.900,00",2026-01-01,9
La 33,"249.900,00",2026-01-01,9
La 33,"199.900,00",2026-01-01,9
La 33,"100.000,00",2026-01-01,9
La 33,"249.900,00",2026-01-01,9
La 33,"249.900,00",2026-01-01,9
La 33,"109.900,00",2026-01-01,9
Corporate Center,"249.900,00",2026-01-01,61
El Edén,"249.900,00",2026-01-01,52
Mall Gran Via,"249.900,00",2026-01-01,53
City Plaza,"219.900,00",2026-01-01,6
Laureles,"199.900,00",2026-01-01,8
Laureles,"219.900,00",2026-01-01,8
Mall Gran Via,"249.900,00",2026-01-01,53
La 33,"199.900,00",2026-01-01,9
La 33,"199.900,00",2026-01-01,9
La 33,"199.900,00",2026-01-01,9
La 33,"109.900,00",2026-01-01,9
Laureles,"180.000,00",2026-01-01,8
Laureles,"180.000,00",2026-01-01,8
Laureles,"249.900,00",2026-01-01,8
Laureles,"249.900,00",2026-01-01,8
Laureles,"219.900,00",2026-01-01,8
Belen,"199.900,00",2026-01-01,10
Belen,"199.900,00",2026-01-01,10
Belen,"219.900,00",2026-01-01,10
Belen,"180.000,00",2026-01-01,10
Santafe Bogota,"249.900,00",2026-01-01,13
Laureles,"180.000,00",2026-01-01,8
Alto de palmas,"219.900,00",2026-01-01,7
Alto de palmas,"199.900,00",2026-01-01,7
Alto de palmas,"180.000,00",2026-01-01,7
